"OriginalPath","Filename","Type","Hardmode","FriendlyName","Silent","Wait","DetectionMethod","Detection","HardmodeDetectionType","HardmodeDetection","Hardmode2DetectionType","Hardmode2Detection","Forcewait"
"C:\temp\programs\safe\BleachBit-5.0.0-setup.exe","BleachBit-5.0.0-setup.exe","safe","No","BleachBit","/S /allusers","Wait","RegistryKey","HKLM:\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\BleachBit",,"",,"",""
"C:\temp\programs\safe\putty-64bit-0.79-installer.msi","putty-64bit-0.79-installer.msi","safe","No","Putty","/q","Wait","Folder","C:\Program Files\PuTTY",,"",,"",""
"C:\temp\programs\safe\GoogleDriveSetup.exe","GoogleDriveSetup.exe","safe","No","Google Drive","--silent --skip_launch_new --desktop_shortcut","Wait","File","C:\Program Files\Google\Drive File Stream\sheets.ico",,"",,"",""
"C:\temp\programs\safe\npp.8.8.5.Installer.x64.exe","npp.8.8.5.Installer.x64.exe","safe","No","Notepad++","/S","Wait","RegistryKey","HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\Notepad++",,"",,"",""
"C:\temp\programs\safe\Everything-1.4.1.1028.x64.msi","Everything-1.4.1.1028.x64.msi","safe","No","Everything","/q","Wait","RegistryKey","HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{37CAAB9AD072-46CB-947A-0751F1E390B3}",,"",,"",""
"C:\temp\programs\safe\OpenOrienteering-Mapper-0.9.5-Windows-x64.exe","OpenOrienteering-Mapper-0.9.5-Windows-x64.exe","safe","No","Open Orienteering Mapper","/S","Wait","RegistryKey","HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\OpenOrienteering Mapper 0.9.5",,"",,"",""
"C:\temp\programs\unauthorized\Wireshark-4.3.0rc0-1764-g128c298122e7-x64.msi","Wireshark-4.3.0rc0-1764-g128c298122e7-x64.msi","unauthorized","No","WireShark","/q","Wait","Folder","C:\Program Files\Wireshark",,"",,"",""
"C:\temp\programs\unauthorized\TabularEditor.3.22.1.x64.Net8.msi","TabularEditor.3.22.1.x64.Net8.msi","unauthorized","No","Tabular editor","/q","Wait","RegistryKey","HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\Tabular Editor 3 3.22.1",,"",,"",""
"C:\temp\programs\unauthorized\OperaGXSetup.exe","OperaGXSetup.exe","unauthorized","No","Opera GX","/Silent /ALLUSERS=1 /Launchopera=0 /Desktopshortcut=0","NoWait","File","C:\Program Files\Opera GX\opera.exe","Folder","C:\Program Files\Opera GX",,"",""
"C:\temp\programs\unauthorized\usbipd-win_5.2.0_x64.msi","usbipd-win_5.2.0_x64.msi","unauthorized","No","USB IP Daemon","/q","Wait","Folder","C:\Program Files\usbipd-win",,"",,"",""
"C:\temp\programs\unauthorized\ipscan-3.9.2-setup.exe","ipscan-3.9.2-setup.exe","unauthorized","Yes","Angry IP Scanner","/S","Wait","RegistryKey","HKLM:\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\Angry IP Scanner","Registry Key","HKLM:\SOFTWARE\Wow6432Node\Angry IP Scanner","Registry Key","HKLM:\SOFTWARE\Wow6432Node\Angry IP Scanner",""
"C:\temp\programs\malware\advanced-systemcare-setup.exe","advanced-systemcare-setup.exe","malware","Yes","Advanced System Care","/verysilent","NoWait","RegistryKey","HKLM:\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\Advanced SystemCare_is1","Folder","C:\ProgramData\IObit\Advanced SystemCare","Registry Key","HKLM:\SOFTWARE\Wow6432Node\IObit\ASC","Yes"
"C:\temp\programs\malware\SHAREit.exe","SHAREit.exe","malware","No","SHAREit","/Silent /ALLUSERS=1","NoWait","RegistryKey","HKLM:\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Uninstall\www.ushareit.com_is1",,"",,"","Yes"
"C:\temp\programs\malware\bitlord-2.4-win32-silent-setup-ver363.exe","bitlord-2.4-win32-silent-setup-ver363.exe","malware","No","Bitlord","/silent","Wait","RegistryKey","HKLM:\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Uninstall\BitLord",,"",,"",""
"C:\temp\programs\manualmalware\DriverEasy\Invoke-AppDeployToolkit.exe","DriverEasy","manualmalware","Yes","Driver Easy","-deploymode silent","Wait","RegistryKey","HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\DriverEasy_is1","Folder","C:\Program Files\Easeware\DriverEasy",,"",""
"C:\temp\programs\manualmalware\3utools\Invoke-AppDeployToolkit.exe","3utools","manualmalware","No","3uTools","-deploymode silent","Wait","RegistryKey","HKLM:\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\3uToolsV3_x86",,"",,"",""
"C:\temp\programs\manualmalware\outbyte\Invoke-AppDeployToolkit.exe","outbyte","manualmalware","Yes","Outbyte PC Repair","-deploymode silent","Wait","RegistryKey","HKLM:\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Uninstall\{D5C6DB0C-BC43-4A77-9121-D1A07591F855}_is1","Registry Key","HKLM:\SOFTWARE\Wow6432Node\Outbyte\LhSvc Service","Folder","C:\ProgramData\Outbyte\PC Repair",""
"C:\temp\programs\manualmalware\pc cleaner\Invoke-AppDeployToolkit.exe","pc cleaner","manualmalware","Yes","PC Cleaner","-deploymode silent","Wait","RegistryKey","HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{18ED4F6F-6527-4725-AE27-D5B937F97C89}","Registry Key","HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{18ED4F6F-6527-4725-AE27-D5B937F97C89}_PC Cleaner",,"",""
"C:\temp\programs\manualmalware\PC Appstore\Invoke-AppDeployToolkit.exe","PC Appstore","manualmalware","No","PC Appstore","-deploymode silent","Wait","RegistryKey","HKCU:\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\PCAppStore",,"",,"",""
"C:\temp\programs\manualmalware\Driverupdate\Invoke-AppDeployToolkit.exe","Driverupdate","manualmalware","No","Driver Support One","-deploymode silent","Wait","RegistryKey","HKLM:\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\DSOneWeb",,"",,"",""
"","CacheNotClear.txt","Tempfiles","","Edge Cache File","","","FileExistence","C:\Users\Cyberadmin\AppData\Local\Microsoft\Edge\User Data\Default\Cache\CacheNotClear.txt","","","","",""
"","MinimumPasswordLength","PasswordPolicy","","Minimum Password Length","","","Policy","8","","","","",""
"","MaximumPasswordAge","PasswordPolicy","","Maximum Password Age","","","Policy","85","","","","",""
"","MinimumPasswordAge","PasswordPolicy","","Minimum Password Age","","","Policy","6","","","","",""
"","LockoutDuration","PasswordPolicy","","Account Lockout Duration","","","Policy","25","","","","",""
"","LockoutThreshold","PasswordPolicy","","Account Lockout Threshold","","","Policy","4","","","","",""
"","LockoutWindow","PasswordPolicy","","Lockout observation window","","","Policy","25","","","","",""
"","ComplexityRequirements","PasswordPolicy","","Password Complexity Requirements","","","Policy","Enabled","","","","",""
"","Adobe Flash Player Updater","ScheduledTask","","Adobe Flash Player Updater","","","ScheduledTask","Adobe Flash Player Updater","","","","",""
"","GoogleUpdateTaskMachineCore","ScheduledTask","","GoogleUpdateTaskMachineCore","","","ScheduledTask","GoogleUpdateTaskMachineCore","","","","",""
"","Microsoft Compatibility Telemetry","ScheduledTask","","Microsoft Compatibility Telemetry","","","ScheduledTask","Microsoft Compatibility Telemetry","","","","",""
"","SystemHealthCheck","ScheduledTask","","SystemHealthCheck","","","ScheduledTask","SystemHealthCheck","","","","",""
"","OneDrive Standalone Updater","ScheduledTask","","OneDrive Standalone Updater","","","ScheduledTask","OneDrive Standalone Updater","","","","",""
"","Java Update Scheduler","ScheduledTask","","Java Update Scheduler","","","ScheduledTask","Java Update Scheduler","","","","",""
